Southern Great Plain (SGP), -97.5, 36.6, 1.0000
GoAmazon (MAO),	-60.6, -3.2, 1.0000
Southeast US (SEUS), -87.33, 34.33, 1.0000
TRACER (HOU), -95.05, 29.63, 0.5000
CACTI (COR), -64.71, -32.11, 0.5000
GUC, -107, 38.95, 0.5000
EPC, -117.25, 32.85, 0.5000
Eastern North Atlantic (ENA), -28.03, 39.1, 0.1250
North Slope of Alaska (NSA), -156.65, 71.32, 0.1250
COMBLE (ANX), 15.69, 69.13, 0.1250
Nauru (TWPNAU), 166.9, -0.51, 0.1350
Manus (TWPMAN), 147.4, -2.06, 0.1350
Darwin (TWPDAR), 130.76, -12.49, 0.1350
MAGIC (MAG1), -125.16, 32, 0.1350
MAGIC (MAG2), -135.155, 28.5, 0.1350
MAGIC (MAG3), -145.15, 25.5, 0.1350
MAGIC (MAG4), -155.15, 22, 0.1350
GPM KMLB, -80.6542, 28.1133, 0.1250
GPM KPOL, 167.7330, 8.71796, 0.1250
GPM KDOX, -75.4397, 38.8256, 0.1250
GPM KAKQ, -77.0072, 36.9839, 0.1250
