1,Southern Great Plain (SGP),1,8301
2,Eastern North Atlantic (ENA),8302,16735
3,North Slope of Alaska (NSA),16736,19582
4,GoAmazon (MAO),19583,29138
5,TRACER (HOU),29139,37438
6,CACTI (COR),37439,46076
7,COMBLE (ANX),46077,49253
8,MAGIC (MAG),49254,58049
9,Southeast US (SEUS),58050,66338
10,Nauru (TWPNAU),66339,66374
11,Manus (TWPMAN),66375,66416
12,Darwin (TWPDAR),66417,66462
13,MAGIC (MAG1),66463,66509
14,MAGIC (MAG2),66510,66565
15,MAGIC (MAG3),66566,66614
16,MAGIC (MAG4),66615,66660
17,GPM KMLB,66661,66788
18,GPM KPOL,66789,66932
19,GPM KDOX,66933,67058
20,GPM KAKQ,67059,67183
