              ARM TRACER (HOU),   -95.219,   -94.899,    29.535,    29.805
               ARM CACTI (COR),   -64.888,   -64.568,   -32.261,   -31.991
              ARM COMBLE (ANX),    15.304,    16.064,    69.006,    69.276
       ARM Southeast US (SEUS),   -87.516,   -87.186,    34.208,    34.478
    ARM East N. Atlantic (ENA),   -28.201,   -27.851,    38.957,    39.227
              ARM Alaska (NSA),  -157.040,  -156.190,    71.188,    71.458
            ARM Nauru (TWPNAU),   166.765,   167.035,    -0.635,    -0.365
            ARM Manus (TWPMAN),   147.265,   147.535,    -2.235,    -1.965
           ARM Darwin (TWPDAR),   130.760,   131.040,   -12.535,   -12.265
              ARM MAGIC (MAG1),  -125.160,  -124.840,    31.865,    32.135
              ARM MAGIC (MAG2),  -135.155,  -134.845,    28.365,    28.635
              ARM MAGIC (MAG3),  -145.150,  -144.850,    25.365,    25.635
              ARM MAGIC (MAG4),  -155.150,  -154.850,    22.365,    22.635
