Southern Great Plain (SGP), -99.0, -95.0, 34.0, 38.0
Eastern North Atlantic (ENA), -30, -26, 37, 41
North Slope of Alaska (NSA), -158, -154, 69, 73
GoAmazon (MAO), -62, -58, -5, -1
TRACER (HOU), -97, -93, 27, 31
CACTI (COR), -66, -62, -34, -30
COMBLE (ANX), 13, 17, 67, 71
MAGIC (MAG), -159, -155, 19, 23
Southeast US (SEUS), -89, -85, 32, 36
Nauru (TWPNAU), 166.765, 167.035, -0.635, -0.365
Manus (TWPMAN), 147.265, 147.535, -2.235, -1.965
Darwin (TWPDAR), 130.760, 131.040, -12.535, -12.265
MAGIC (MAG1), -125.160, -124.840, 31.865, 32.135
MAGIC (MAG2), -135.155, -134.845, 28.365, 28.635
MAGIC (MAG3), -145.150, -144.850, 25.365, 25.635
MAGIC (MAG4), -155.150, -154.850, 22.365, 22.635
